新闻,#genre#
TVB無線新聞NewsH265(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/3.ts
TVB無線新聞台4K(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/8.ts
TVB無線新聞直播台4K(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/9.ts
TVB無線新聞台CH083(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/13.ts
鳳凰資訊(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/17.ts
HOY資訊台(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/22.ts
HOY香港國際財經IBC(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/23.ts
Now新聞台CH332(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/29.ts
Now財經台CH333(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/30.ts
鳳凰資訊台CH611(HK),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/88.ts
中天新闻(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/161.ts
东森新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/162.ts
TVBS新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/163.ts
三立新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/166.ts
台视新闻(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/174.ts
民视新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/164.ts
中视新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/168.ts
华视新闻信息台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/169.ts
寰宇新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/170.ts
寰宇新闻台湾台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/171.ts
年代新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/165.ts
壹电视新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/172.ts
镜电视新闻(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/173.ts
非凡新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/167.ts
三立财经新闻iNEWS(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/370.ts
SBN全球财经台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/371.ts
东森财经新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/369.ts
寰宇财经台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/379.ts
台视财经台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/373.ts
非凡商业台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/372.ts
CNN国际新闻台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/382.ts
CNN头条新闻台(HLN)(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/383.ts
BBCWorldNEWS(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/384.ts
FRANCE24英文台(TW),http://iptvpro.pw:35451/live/加QQ群995225115福利/33119988/386.ts
