🇨🇳央视,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CETV1,http://go.bkpcp.top/mg/cetv1
CETV2,http://go.bkpcp.top/mg/cetv2
CETV4,http://go.bkpcp.top/mg/cetv4
CGTN西语,http://go.bkpcp.top/mg/cgtne
CGTN阿语,http://go.bkpcp.top/mg/cgtna
CGTN法语,http://go.bkpcp.top/mg/cgtnf
CGTN俄语,http://lxj.i234.me:1672/yn.php?type=back&id=606
CGTN纪录,http://lxj.i234.me:1672/yn.php?type=back&id=603
CGTN英语,http://lxj.i234.me:1672/yn.php?type=back&id=600

🇨🇳央视收费,#genre#
风云音乐,http://baota.guangyuan.site:8188/udp/239.253.43.6:5146
世界地理,http://baota.guangyuan.site:8188/udp/239.253.43.7:5146
女性时尚,http://baota.guangyuan.site:8188/udp/239.253.43.8:5146
兵器科技,http://baota.guangyuan.site:8188/udp/239.253.43.9:5146
电视指南,http://baota.guangyuan.site:8188/udp/239.253.43.10:5146
文化精品,http://baota.guangyuan.site:8188/udp/239.253.43.13:5146
第一剧场,http://baota.guangyuan.site:8188/udp/239.253.43.15:5146
怀旧剧场,http://baota.guangyuan.site:8188/udp/239.253.43.5:5146
风云剧场,http://baota.guangyuan.site:8188/udp/239.253.43.16:5146
风云足球,http://baota.guangyuan.site:8188/udp/239.253.43.14:5146
央视台球,http://baota.guangyuan.site:8188/udp/239.253.43.11:5146
高尔夫网球,http://baota.guangyuan.site:8188/udp/239.253.43.12:5146

🇨🇳卫视,#genre#
云南卫视,http://go.bkpcp.top/mg/ynws
江苏卫视,http://go.bkpcp.top/mg/jsws
浙江卫视,http://go.bkpcp.top/mg/zjws
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
天津卫视,http://go.bkpcp.top/mg/tjws
安徽卫视,http://go.bkpcp.top/mg/ahws
山东卫视,http://go.bkpcp.top/mg/sdws
辽宁卫视,http://go.bkpcp.top/mg/lnws
河北卫视,http://go.bkpcp.top/mg/hbws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
四川卫视,http://go.bkpcp.top/mg/scws
重庆卫视,http://go.bkpcp.top/mg/cqws
贵州卫视,http://go.bkpcp.top/mg/gzws
湖北卫视,http://go.bkpcp.top/mg/hubws
广西卫视,http://go.bkpcp.top/mg/gxws
东南卫视,http://go.bkpcp.top/mg/dnws
海南卫视,http://go.bkpcp.top/mg/hinws
青海卫视,http://go.bkpcp.top/mg/qhws
吉林卫视,http://go.bkpcp.top/mg/jlws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
山西卫视,http://go.bkpcp.top/mg/sxiws
甘肃卫视,http://go.bkpcp.top/mg/gsws
陕西卫视,http://go.bkpcp.top/mg/sxws
宁夏卫视,http://go.bkpcp.top/mg/nxws
新疆卫视,http://go.bkpcp.top/mg/xjws
西藏卫视,http://go.bkpcp.top/mg/xzws
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
兵团卫视,http://go.bkpcp.top/mg/btws
广东珠江,http://go.bkpcp.top/mg/gdzj
广东体育,http://go.bkpcp.top/mg/gdty
广东影视,http://go.bkpcp.top/mg/gdys
广东新闻,http://go.bkpcp.top/mg/gdxw
广东民生,http://go.bkpcp.top/mg/gdms

🇨🇳其它,#genre#
凤凰资讯,http://rihou.cc:555/tv/[PL]凤凰资讯
凤凰中文,http://rihou.cc:555/tv/[PL]凤凰中文
凤凰香港,http://rihou.cc:555/tv/[PL]凤凰香港
无线新闻,http://rihou.cc:555/tv/[Mt]无线新闻
CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy



🇨🇳新闻,#genre#
鳳凰資訊,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/88.ts
無線新聞,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/13.ts
中天新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/161.ts
东森新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/162.ts
TVBS新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/163.ts
三立新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/166.ts
台视新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/174.ts
民视新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/164.ts
中视新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/168.ts
寰宇新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/170.ts
年代新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/165.ts
壹电视新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/172.ts
镜电视新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/173.ts
非凡新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/167.ts
Now新聞,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/29.ts
Now財經,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/30.ts
华视新闻信息,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/169.ts
寰宇新闻台湾,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/171.ts
三立财经新闻,http://iptvpro.pw:35451/live/加QQ群1067462089/4225hd646/370.ts
